method,gold_recall,in_evidence,in_raw_summary,in_final_summary,error_type,evidence_rank,route_label,change_types,changed_fields,score,evidence_preview
contrastive_adaptive_rag,26-346,True,False,True,covered,13,new_high_risk,added,,0.8358497917683037,Recall Number: 26-346 Change Types: added Changed Fields: Recall Heading: CCCEI Brand Power Strips Recalled Due to Risk of Serious Injury or Death from Fire; Sold by Middle Way Ele...
contrastive_adaptive_rag,26-348,True,True,True,covered,8,new_high_risk,added,,0.9823268710316313,Recall Number: 26-348 Change Types: added Changed Fields: Recall Heading: FUNTOK Ride-On Trucks Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Imported by ...
contrastive_adaptive_rag,26-368,False,False,False,retrieval_missing,,,,,,
contrastive_adaptive_rag,26-369,True,False,True,covered,15,new_high_risk,added,,0.8340885519899732,Recall Number: 26-369 Change Types: added Changed Fields: Recall Heading: Coluans Christmas Light-Up Rings Recalled Due to Risk of Serious Injury or Death from Battery Ingestion Ha...
contrastive_adaptive_rag,26-379,True,True,True,covered,3,new_high_risk,added,,0.9927778435998702,Recall Number: 26-379 Change Types: added Changed Fields: Recall Heading: HTRC and Haisito T400 Battery Chargers Recalled Due to Risk of Serious Injury and Death from Fire Hazard; ...
contrastive_adaptive_rag,26-389,True,False,True,covered,12,new_high_risk,added,,0.8356111117315188,Recall Number: 26-389 Change Types: added Changed Fields: Recall Heading: Silks Recall Children’s Loungewear Sets Due to Risk of Serious Injury or Death from Burn Hazard; Violates ...
contrastive_adaptive_rag,26-396,True,False,True,covered,14,new_high_risk,added,,0.8340897753028134,Recall Number: 26-396 Change Types: added Changed Fields: Recall Heading: Halloween Pumpkin Carving Kits Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Vio...
contrastive_adaptive_rag,26-398,True,True,True,covered,6,new_high_risk,added,,0.9793790637571906,Recall Number: 26-398 Change Types: added Changed Fields: Recall Heading: ShymeryDirect LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
contrastive_adaptive_rag,26-401,True,True,True,covered,2,new_high_risk,added,,1.0357728368649943,Recall Number: 26-401 Change Types: added Changed Fields: Recall Heading: Shenzhen Shijingjie Network Technology Male-to-Male Extension Cords Recalled Due to Risk of Serious Injury...
contrastive_adaptive_rag,26-403,True,True,True,covered,7,new_high_risk,added,,0.978330490511768,Recall Number: 26-403 Change Types: added Changed Fields: Recall Heading: LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Stan...
contrastive_adaptive_rag,26-418,True,True,True,covered,1,new_high_risk,added,,1.055807514902253,Recall Number: 26-418 Change Types: added Changed Fields: Recall Heading: Casely Reannounces Recall of Wireless Portable Power Banks Due to Risk of Serious Injury or Death from Fir...
contrastive_adaptive_rag,26-424,True,True,True,covered,10,new_high_risk,added,,0.8488217276072232,Recall Number: 26-424 Change Types: added Changed Fields: Recall Heading: ZMC Group Recalls LED Finger Beam Lights Due to Risk of Serious Injury or Death from Battery Ingestion; Vi...
contrastive_adaptive_rag,26-428,True,True,True,covered,11,new_high_risk,added,,0.8485925478496128,Recall Number: 26-428 Change Types: added Changed Fields: Recall Heading: JC Sales Recalls Lil' Buddies Pet Laser Toys Due to Risk of Serious Injury or Death from Battery Ingestion...
